essay_id,nb_of_tokens,mean_char_p_words,diff_words,optimal_sentences,nb_of_spell_errors,spell_errors_p_token,flesch_score,cos_dist,style_errors,grammar_errors,grammar_errors_p_token,discourse_markers,discourse_markers_p_sentence
1.0,340.0,4.352941176470588,163.0,3.0,4.0,0.011764705882352941,73.71,0.6914661186847206,0.0,31.0,0.09117647058823529,23.0,1.4375
2.0,399.0,4.518796992481203,192.0,5.0,6.0,0.015037593984962405,66.98,0.6717772880243935,0.0,41.0,0.10275689223057644,21.0,1.05
3.0,271.0,4.5055350553505535,145.0,5.0,0.0,0.0,67.89,0.49790665801367073,0.0,27.0,0.0996309963099631,18.0,1.2857142857142858
4.0,514.0,4.933852140077821,245.0,9.0,16.0,0.0311284046692607,60.24,0.7087637192517121,0.0,53.0,0.10311284046692606,35.0,1.2962962962962963
5.0,453.0,4.498896247240618,196.0,8.0,11.0,0.024282560706401765,72.56,0.6311202126510767,0.0,44.0,0.09713024282560706,27.0,0.9
6.0,237.0,4.181434599156118,126.0,2.0,6.0,0.02531645569620253,81.22,0.6400074029194749,0.0,32.0,0.1350210970464135,12.0,0.8
7.0,492.0,4.5060975609756095,214.0,13.0,5.0,0.01016260162601626,71.34,0.6123786956328796,1.0,34.0,0.06910569105691057,26.0,0.8666666666666667
8.0,481.0,4.457380457380458,198.0,7.0,0.0,0.0,75.61,0.5454444104365104,0.0,47.0,0.09771309771309772,21.0,0.5384615384615384
9.0,431.0,4.366589327146172,206.0,8.0,3.0,0.0069605568445475635,75.4,0.7030586630518727,0.0,48.0,0.11136890951276102,20.0,0.5714285714285714
10.0,502.0,4.111553784860558,206.0,6.0,2.0,0.00398406374501992,76.86,0.6233708459508295,1.0,47.0,0.09362549800796813,34.0,1.3076923076923077
11.0,321.0,4.928348909657321,197.0,8.0,5.0,0.01557632398753894,64.81,0.6262537708187302,0.0,28.0,0.08722741433021806,12.0,0.5454545454545454
12.0,386.0,4.518134715025907,150.0,7.0,20.0,0.05181347150259067,72.26,0.7079650120389089,0.0,66.0,0.17098445595854922,31.0,1.24
13.0,194.0,4.056701030927835,118.0,2.0,7.0,0.03608247422680412,62.35,0.6833537427681521,0.0,33.0,0.17010309278350516,13.0,2.1666666666666665
14.0,304.0,4.220394736842105,123.0,8.0,7.0,0.023026315789473683,84.37,0.7017323789624025,0.0,63.0,0.20723684210526316,18.0,0.72
15.0,172.0,4.587209302325581,92.0,4.0,2.0,0.011627906976744186,74.69,0.4854150214679779,0.0,22.0,0.12790697674418605,5.0,0.38461538461538464
16.0,522.0,4.906130268199234,245.0,10.0,16.0,0.03065134099616858,64.51,0.5100812101989964,0.0,55.0,0.1053639846743295,15.0,0.42857142857142855
17.0,331.0,4.3202416918429005,137.0,7.0,4.0,0.012084592145015106,69.21,0.6944406836102095,0.0,32.0,0.09667673716012085,20.0,1.1111111111111112
18.0,355.0,4.309859154929577,162.0,3.0,3.0,0.008450704225352112,71.58,0.6054089628959448,1.0,30.0,0.08450704225352113,26.0,1.7333333333333334
19.0,64.0,4.515625,50.0,0.0,3.0,0.046875,87.31,0.8536357976278917,0.0,37.0,0.578125,1.0,0.14285714285714285
20.0,149.0,4.543624161073826,93.0,3.0,3.0,0.020134228187919462,73.98,0.7012737586544104,0.0,17.0,0.11409395973154363,7.0,0.6363636363636364
21.0,361.0,4.534626038781163,180.0,9.0,6.0,0.01662049861495845,69.72,0.5553616381234179,0.0,38.0,0.10526315789473684,22.0,1.1
22.0,55.0,4.6909090909090905,37.0,0.0,0.0,0.0,59.98,0.7001540199977317,0.0,3.0,0.05454545454545454,1.0,0.5
23.0,507.0,4.47534516765286,215.0,12.0,4.0,0.007889546351084813,70.53,0.5788240166168619,1.0,48.0,0.09467455621301775,24.0,0.8
24.0,559.0,4.509838998211091,236.0,8.0,3.0,0.005366726296958855,73.68,0.5560708358741323,0.0,55.0,0.09838998211091235,28.0,0.717948717948718
25.0,285.0,4.6912280701754385,127.0,5.0,3.0,0.010526315789473684,69.72,0.6925770440839201,0.0,25.0,0.08771929824561403,18.0,1.125
26.0,352.0,4.443181818181818,164.0,2.0,9.0,0.02556818181818182,72.46,0.6285786148310228,0.0,36.0,0.10227272727272728,22.0,1.0
27.0,117.0,4.3247863247863245,65.0,4.0,4.0,0.03418803418803419,79.5,0.8850694632280616,0.0,16.0,0.13675213675213677,14.0,2.0
28.0,357.0,4.579831932773109,182.0,7.0,2.0,0.0056022408963585435,75.71,0.715813815035952,0.0,45.0,0.12605042016806722,19.0,0.6785714285714286
29.0,364.0,4.43956043956044,154.0,8.0,3.0,0.008241758241758242,71.95,0.5843148526250241,0.0,39.0,0.10714285714285714,31.0,1.3478260869565217
30.0,250.0,4.52,118.0,6.0,2.0,0.008,70.84,0.6592711409884067,0.0,19.0,0.076,13.0,0.8666666666666667
31.0,452.0,4.45353982300885,223.0,10.0,5.0,0.011061946902654867,72.66,0.7495830791247555,0.0,57.0,0.1261061946902655,36.0,1.0588235294117647
32.0,481.0,4.503118503118503,208.0,11.0,3.0,0.006237006237006237,74.39,0.564609280855672,0.0,49.0,0.10187110187110188,30.0,0.8333333333333334
33.0,157.0,4.56687898089172,97.0,3.0,3.0,0.01910828025477707,74.29,0.649376309615736,0.0,22.0,0.14012738853503184,11.0,0.9166666666666666
34.0,338.0,4.257396449704142,161.0,5.0,8.0,0.023668639053254437,90.29,0.7687787219961857,0.0,45.0,0.13313609467455623,26.0,1.0
35.0,402.0,4.447761194029851,161.0,0.0,0.0,0.0,75.61,0.5440126757664481,0.0,41.0,0.10199004975124377,18.0,0.5454545454545454
36.0,532.0,4.443609022556391,234.0,5.0,4.0,0.007518796992481203,65.46,0.6006237948986948,0.0,35.0,0.06578947368421052,28.0,1.1666666666666667
37.0,461.0,4.494577006507592,229.0,10.0,11.0,0.02386117136659436,80.82,0.6025722183119847,2.0,64.0,0.13882863340563992,33.0,1.064516129032258
38.0,337.0,4.373887240356083,155.0,6.0,6.0,0.017804154302670624,67.38,0.6913581809146676,0.0,28.0,0.0830860534124629,29.0,1.7058823529411764
39.0,426.0,4.434272300469484,198.0,5.0,7.0,0.01643192488262911,66.88,0.6091376520974198,0.0,43.0,0.10093896713615023,31.0,1.4090909090909092
40.0,181.0,4.3812154696132595,106.0,4.0,2.0,0.011049723756906077,76.32,0.5662287377366809,0.0,30.0,0.16574585635359115,5.0,0.3333333333333333
41.0,39.0,4.487179487179487,28.0,2.0,0.0,0.0,74.49,0.5574110375205413,0.0,5.0,0.1282051282051282,3.0,1.0
42.0,280.0,4.203571428571428,128.0,2.0,4.0,0.014285714285714285,74.63,0.6092690518667758,0.0,36.0,0.12857142857142856,24.0,1.7142857142857142
43.0,140.0,4.457142857142857,80.0,4.0,2.0,0.014285714285714285,70.23,0.6673923770631314,1.0,11.0,0.07857142857142857,8.0,1.0
44.0,304.0,4.184210526315789,110.0,7.0,3.0,0.009868421052631578,85.49,0.7350201794697017,0.0,37.0,0.12171052631578948,17.0,0.6071428571428571
45.0,317.0,4.214511041009464,145.0,7.0,5.0,0.015772870662460567,80.41,0.7794476840832093,0.0,34.0,0.10725552050473186,34.0,1.7
46.0,296.0,4.35472972972973,101.0,5.0,3.0,0.010135135135135136,60.69,0.7454694502650502,0.0,22.0,0.07432432432432433,11.0,1.0
47.0,298.0,4.298657718120805,157.0,8.0,4.0,0.013422818791946308,79.19,0.6909229455468944,0.0,39.0,0.13087248322147652,31.0,1.7222222222222223
48.0,541.0,4.10720887245841,210.0,10.0,1.0,0.0018484288354898336,79.6,0.6218797622724632,0.0,37.0,0.06839186691312385,28.0,0.8484848484848485
49.0,313.0,4.63258785942492,136.0,6.0,3.0,0.009584664536741214,76.52,0.5345087506497501,0.0,34.0,0.10862619808306709,15.0,0.5555555555555556
50.0,83.0,4.650602409638554,60.0,0.0,3.0,0.03614457831325301,67.28,0.7510844770118748,0.0,14.0,0.1686746987951807,8.0,2.0
51.0,561.0,3.878787878787879,193.0,1.0,4.0,0.0071301247771836,60.45,0.6520538768592512,0.0,36.0,0.06417112299465241,39.0,3.25
52.0,229.0,4.580786026200873,131.0,3.0,8.0,0.034934497816593885,72.05,0.6473920241433251,0.0,32.0,0.13973799126637554,12.0,0.8
53.0,407.0,4.2137592137592135,177.0,8.0,6.0,0.014742014742014743,80.72,0.5998730290280346,0.0,47.0,0.11547911547911548,39.0,1.4444444444444444
54.0,403.0,4.456575682382134,202.0,6.0,9.0,0.022332506203473945,75.1,0.6882640186302318,2.0,55.0,0.13647642679900746,30.0,1.0
55.0,237.0,4.6455696202531644,101.0,1.0,2.0,0.008438818565400843,68.3,0.830909806773855,0.0,20.0,0.08438818565400844,36.0,3.272727272727273
56.0,454.0,5.185022026431718,237.0,9.0,8.0,0.01762114537444934,41.4,0.5794072267028558,0.0,31.0,0.06828193832599119,14.0,0.6363636363636364
57.0,286.0,4.839160839160839,148.0,4.0,4.0,0.013986013986013986,67.04,0.6664389339517457,0.0,33.0,0.11538461538461539,14.0,0.6086956521739131
58.0,193.0,4.383419689119171,107.0,5.0,3.0,0.015544041450777202,73.88,0.5558233503822698,1.0,28.0,0.14507772020725387,12.0,0.8571428571428571
59.0,424.0,4.625,190.0,5.0,5.0,0.01179245283018868,68.81,0.5087503338975183,0.0,44.0,0.10377358490566038,35.0,1.5909090909090908
60.0,66.0,4.96969696969697,46.0,1.0,0.0,0.0,60.01,0.6350209256014605,0.0,10.0,0.15151515151515152,1.0,0.16666666666666666
61.0,303.0,4.448844884488449,139.0,4.0,5.0,0.0165016501650165,75.0,0.5876759917139476,0.0,29.0,0.09570957095709572,11.0,0.4782608695652174
62.0,267.0,4.385767790262173,123.0,1.0,3.0,0.011235955056179775,76.15,0.6412394999955393,0.0,33.0,0.12359550561797752,19.0,1.3571428571428572
63.0,279.0,4.508960573476703,118.0,6.0,1.0,0.0035842293906810036,71.04,0.6584887817671827,0.0,21.0,0.07526881720430108,15.0,0.8823529411764706
64.0,209.0,4.172248803827751,94.0,2.0,2.0,0.009569377990430622,68.06,0.7224241806251841,0.0,23.0,0.11004784688995216,12.0,2.0
65.0,423.0,4.359338061465721,169.0,11.0,7.0,0.016548463356973995,78.89,0.6304814886382965,0.0,40.0,0.09456264775413711,30.0,1.25
66.0,366.0,4.631147540983607,181.0,9.0,5.0,0.01366120218579235,73.27,0.6051937196550883,0.0,41.0,0.11202185792349727,18.0,0.72
67.0,279.0,4.60573476702509,127.0,5.0,5.0,0.017921146953405017,73.47,0.7091562233662607,0.0,35.0,0.12544802867383512,21.0,1.05
68.0,393.0,4.478371501272265,193.0,6.0,3.0,0.007633587786259542,76.52,0.5975563054603472,0.0,44.0,0.11195928753180662,34.0,1.0303030303030303
69.0,235.0,4.131914893617021,126.0,5.0,1.0,0.00425531914893617,83.25,0.6429056424074393,0.0,26.0,0.11063829787234042,19.0,1.0555555555555556
70.0,412.0,4.895631067961165,202.0,8.0,3.0,0.007281553398058253,56.05,0.6769003273510008,0.0,42.0,0.10194174757281553,21.0,0.75
71.0,426.0,4.438967136150235,179.0,5.0,5.0,0.011737089201877934,75.44,0.5047707678975216,0.0,45.0,0.1056338028169014,21.0,1.0
72.0,521.0,4.998080614203455,223.0,10.0,8.0,0.015355086372360844,49.96,0.5794420582695723,0.0,44.0,0.08445297504798464,23.0,0.92
73.0,388.0,4.38659793814433,179.0,7.0,6.0,0.015463917525773196,69.41,0.7202085518162673,0.0,35.0,0.09020618556701031,17.0,0.8095238095238095
